"question_id","question_result_id","answer_id","survey_result_id","created_at","answer","answer_label"
"c4352e6d-9886-4c67-a179-4d4a60a92757","76e0b0d9-8d69-45c3-9472-9966d3ad6688","61abef8c-23cb-42fa-ae55-6fb9afbe975d","e367d84b-b02c-4ae6-85b1-aee56ae404fb","2023-05-01 20:27:32.468",3,"D'accord"
"5da26b2f-8630-4be5-9a57-77e37e37b144","91e0a4bc-befa-404b-8a81-88f8df1ccf5d","6b0adc25-096e-4052-a457-59789b8a3164","e367d84b-b02c-4ae6-85b1-aee56ae404fb","2023-05-01 20:27:32.468",3,"D'accord"
"d9a0d5f6-0a72-48c8-aaf6-b49d2478e7a1","2395280e-10b9-4586-8732-12be32592f75","bbc05054-ba3a-47f6-99a9-c35e74ed754a","e367d84b-b02c-4ae6-85b1-aee56ae404fb","2023-05-01 20:27:32.468",3,"D'accord"
"38c3d1de-90d9-4d99-9b69-fd14e78473b4","538effb2-66e3-4a3e-8d60-3de23c3d9b2d","b6b0b94d-9194-4bed-85fb-b152ee7267b2","e367d84b-b02c-4ae6-85b1-aee56ae404fb","2023-05-01 20:27:32.468",3,"D'accord"
"dfed2885-4e08-4a3e-9a62-53d3dda3b24d","fbe929a7-9666-4b2a-85fe-3077c4ec4678","c2d5646f-d619-460a-afa7-ecc92170f35f","e367d84b-b02c-4ae6-85b1-aee56ae404fb","2023-05-01 20:27:32.468",3,"D'accord"
"ee4fa3b8-2902-4741-b81a-5147b3759dde","8ac8431b-5191-4969-a110-c66aca8149b6","3fa5cd59-3dd2-4700-9935-d983044d8671","e367d84b-b02c-4ae6-85b1-aee56ae404fb","2023-05-01 20:27:32.468",1,"Une femme"
"65a921b2-c376-48e8-8161-6328fca448d0","5e858414-acdc-4fc0-b0b1-4a7cdfad49b1","5e30cced-941e-4bbd-bc2d-734f8b2a3561","e367d84b-b02c-4ae6-85b1-aee56ae404fb","2023-05-01 20:27:32.468",3,"D'accord"
"3b37b144-7672-46e7-b8fb-a8123d20f96a","856e178d-b0ff-434e-9d8d-07907d32405f","a63bb1d7-d518-4248-8110-6e6871da6031","e367d84b-b02c-4ae6-85b1-aee56ae404fb","2023-05-01 20:27:32.468",3,"D'accord"
"821f803e-3fb9-4c08-b3a6-5da8a9b1f829","1a65b153-0771-4d17-80f3-e50bbbff0185","ea1a503d-156a-4bbf-b3cb-e11b5119120c","e367d84b-b02c-4ae6-85b1-aee56ae404fb","2023-05-01 20:27:32.468",3,"D'accord"
"66e6b3cb-554e-4359-82cb-ce7e298d4a3d","11fd75cf-c874-4a1c-95a1-c4c2f630ed69","c0053303-6c3d-433f-a3c0-5ddda55fef74","e367d84b-b02c-4ae6-85b1-aee56ae404fb","2023-05-01 20:27:32.468",3,"D'accord"
"9864ac79-677c-4a74-ba01-96a089e1ba7b","3d1fbfb2-f167-4939-90e9-ae88501099ba","14bb72b0-0840-49b2-85be-9160071db4dc","e367d84b-b02c-4ae6-85b1-aee56ae404fb","2023-05-01 20:27:32.468",4,"Fortement d'accord"
"b18a67f5-ca2e-467b-aaa7-4173b2bb2372","4547e1bc-d065-48ef-9449-931e0dfeea72","b7e49b6c-a119-45de-9447-2909a71d08c6","e367d84b-b02c-4ae6-85b1-aee56ae404fb","2023-05-01 20:27:32.468",2,"Ni en désaccord, ni d'accord"
