"step_id","step_title","step_index","question_id","question_index","question_label"
"5dd4e1cb-4556-4562-9107-60a409b0997a","J'attends de mon/ma manager qu'il/elle",2,"c4855898-e509-49a4-a58a-5f3c32bd64dc",2,"M'aide à construire mon parcours professionnel"
"5dd4e1cb-4556-4562-9107-60a409b0997a","J'attends de mon/ma manager qu'il/elle",2,"66e6b3cb-554e-4359-82cb-ce7e298d4a3d",15,"Veille à créer une bonne ambiance de travail"
"5dd4e1cb-4556-4562-9107-60a409b0997a","J'attends de mon/ma manager qu'il/elle",2,"f7527295-55a0-46e7-adf2-f6f5038daf2c",0,"Me fixe des objectifs précis"
"5dd4e1cb-4556-4562-9107-60a409b0997a","J'attends de mon/ma manager qu'il/elle",2,"c4352e6d-9886-4c67-a179-4d4a60a92757",13,"Partage mes valeurs"
"5dd4e1cb-4556-4562-9107-60a409b0997a","J'attends de mon/ma manager qu'il/elle",2,"d85de098-f932-4b89-8fb2-77e82c47ce32",3,"M’accompagne dans le développement de mes compétences"
"5dd4e1cb-4556-4562-9107-60a409b0997a","J'attends de mon/ma manager qu'il/elle",2,"b44cd557-95bb-456a-8de6-72d2d9023fee",17,"Soit attentif à mon équilibre vie pro / vie perso"
"5dd4e1cb-4556-4562-9107-60a409b0997a","J'attends de mon/ma manager qu'il/elle",2,"317eaa54-e1a9-491f-bbc9-5bbe535a4cf6",9,"M’incite à essayer"
"5dd4e1cb-4556-4562-9107-60a409b0997a","J'attends de mon/ma manager qu'il/elle",2,"f8ef2b42-e614-49be-882e-44726b681f1c",4,"Me propose des temps d’échanges réguliers"
"5dd4e1cb-4556-4562-9107-60a409b0997a","J'attends de mon/ma manager qu'il/elle",2,"14f8dab5-72c5-4aab-9771-8c979a18ae8b",6,"Me dise comment m'organiser"
"5dd4e1cb-4556-4562-9107-60a409b0997a","J'attends de mon/ma manager qu'il/elle",2,"76f117f5-4251-4f88-a351-6e9107510679",12,"Nous permette d’avoir une relation informelle"
"5dd4e1cb-4556-4562-9107-60a409b0997a","J'attends de mon/ma manager qu'il/elle",2,"dfed2885-4e08-4a3e-9a62-53d3dda3b24d",14,"Me valorise auprès des autres"
"5dd4e1cb-4556-4562-9107-60a409b0997a","J'attends de mon/ma manager qu'il/elle",2,"b00ac354-8d7e-47c2-90be-0315a3a40c0c",7,"Me challenge"
"5dd4e1cb-4556-4562-9107-60a409b0997a","J'attends de mon/ma manager qu'il/elle",2,"821f803e-3fb9-4c08-b3a6-5da8a9b1f829",16,"Me donne envie de me dépasser"
"5dd4e1cb-4556-4562-9107-60a409b0997a","J'attends de mon/ma manager qu'il/elle",2,"5e395d6a-d77b-43f4-b1cd-a0cd26cf1814",11,"Soit cohérent"
"5dd4e1cb-4556-4562-9107-60a409b0997a","J'attends de mon/ma manager qu'il/elle",2,"e747ffe9-696b-4424-9f55-802fcfb528fa",5,"Se montre disponible pour moi"
"5dd4e1cb-4556-4562-9107-60a409b0997a","J'attends de mon/ma manager qu'il/elle",2,"59eebe49-6e1c-41b7-a00a-3ffecd56344d",8,"Me rassure"
"5dd4e1cb-4556-4562-9107-60a409b0997a","J'attends de mon/ma manager qu'il/elle",2,"fb58872d-19f0-4755-842f-3985cca857ae",1,"Me fixe des objectifs ambitieux"
"5dd4e1cb-4556-4562-9107-60a409b0997a","J'attends de mon/ma manager qu'il/elle",2,"58dcde27-ba8c-402d-a439-2e8ee8a46c72",10,"M’inspire, représente un modèle"
"5dd4e1cb-4556-4562-9107-60a409b0997a","J'attends de mon/ma manager qu'il/elle",2,"70c7b8b9-a920-4560-ad94-2df42afd7690",18,"Soit exigeant"
"5dd4e1cb-4556-4562-9107-60a409b0997a","J'attends de mon/ma manager qu'il/elle",2,"9864ac79-677c-4a74-ba01-96a089e1ba7b",19,"M'inclue dans les décisions"
"e065c4c3-b948-4a27-8ec9-c928ec97e35a","J’attends de mon travail qu’il me permette",1,"87233d3e-3c0e-472f-8ade-bb3730f4b658",0,"D'avoir un CDI"
"e065c4c3-b948-4a27-8ec9-c928ec97e35a","J’attends de mon travail qu’il me permette",1,"db08917c-8fe3-4afc-a814-666147794c44",18,"De voir rapidement les résultats de mes actions"
"e065c4c3-b948-4a27-8ec9-c928ec97e35a","J’attends de mon travail qu’il me permette",1,"fcd0a7fe-85cd-46f5-8c4d-5f873871295e",5,"De mettre en place mes idées, mes propositions"
"e065c4c3-b948-4a27-8ec9-c928ec97e35a","J’attends de mon travail qu’il me permette",1,"65a921b2-c376-48e8-8161-6328fca448d0",6,"De lier des relations amicales"
"e065c4c3-b948-4a27-8ec9-c928ec97e35a","J’attends de mon travail qu’il me permette",1,"e6c4d4d9-21e7-4f0b-b3a5-d3079ec44f07",13,"D’exprimer ma créativité"
"e065c4c3-b948-4a27-8ec9-c928ec97e35a","J’attends de mon travail qu’il me permette",1,"9fb9622d-f148-4162-ba5e-bfe20ade7aa3",20,"D'être libre de m'organiser comme je veux"
"e065c4c3-b948-4a27-8ec9-c928ec97e35a","J’attends de mon travail qu’il me permette",1,"6a5b2ab1-af7e-44b3-b0ae-c3cd9f86c2b3",4,"De décrocher lorsque je rentre chez moi"
